,id,title,description,price,link,image_link,brand,color,shipping,size,custom_label_0,custom_label_1,custom_label_2,category
11,87,Russell Hobbs Health Grill,"3 Pc. non stick cookware set by Tefal powered with Thermospot technology. Compatible with all stovetops, it comes with 2 years brand warranty.",6195.00 ,https://www.ezmall.com/electronics-appliances/kitchen-appliances/snacks-maker/russell-hobbs-health-grill/123,https://cdn.ezmall.com/0/images/product/87/001nav.jpg,Russell Hobbs,BLACK,201.00 INR,no size,Electronics & Appliances,Kitchen Appliances,Snacks maker,Kitchen
12,89,Wonderchef 3 Pc. Non Stick Cookware Set,"Online Shopping for Wonderchef 3 Pc. Non Stick Cookware Set  in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",4000.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/pots-pans/wonderchef-3-pc.-non-stick-cookware-set-/125,https://cdn.ezmall.com/0/images/product/89/001n.jpg,Wonderchef,"BLUE,PINK",151.00 INR,no size,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
13,91,Wonderchef Waffle Maker,"Online Shopping for Wonderchef Waffle Maker in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2999.00 ,https://www.ezmall.com/electronics-appliances/kitchen-appliances/sandwich-maker/wonderchef-waffle-maker/127,https://cdn.ezmall.com/0/images/product/91/Wonderchef-Waffle-Maker-001.jpg,Wonderchef,BLACK,151.00 INR,no size,Electronics & Appliances,Kitchen Appliances,Sandwich Maker,Home & Garden
14,93,Ceramic Coated 4.3Ltr Biryani Pot,"You can cook,bake and serve in this multiple use casserole. It is suitable for all heat sources-gas, OTG, convection microwave. 3 years Brand Warranty",2699.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/pots-pans/ceramic-coated-4.3ltr-biryani-pot/129,https://cdn.ezmall.com/0/images/product/93/Ceramic-Coated-2point-5Ltr-Biryani-Pot-001.jpg,Wonderchef,ORANGE,151.00 INR,no size,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
15,95,Ceramic Coated 2.5Ltr Biryani Pot,"Online Shopping for Ceramic Coated 2.5Ltr Biryani Pot in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2199.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/pots-pans/ceramic-coated-2.5ltr-biryani-pot/131,https://cdn.ezmall.com/0/images/product/95/Ceramic-Coated-4point-3Ltr-Biryani-Pot-001.jpg,Wonderchef,ORANGE,101.00 INR,no size,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
16,101,Pringle 3 Pc. Riviera Non Stick Cookware Set,"Stylish 3 pc non-stick cookware set with 2 Spatulas, 1 kadhai, 1 Pan, 1 Tawa. Now add grace to your kitchen with these perfect finish cookware sets",4350.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/pots-pans/pringle-3-pc.-riviera-non-stick-cookware-set/155,https://cdn.ezmall.com/0/images/product/101/Pringle-3-Pc-Riviera-Non-Stick-Cookware-Set-001.jpg,Pringle,LAVENDER,101.00 INR,no size,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
17,109,Pack of 4 Cotton sarees by Pavechas,"Online Shopping for Pack of 4 Cotton sarees by Pavechas  in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",4096.00 ,https://www.ezmall.com/women/ethnic-wear/sarees-blouses/sarees/pack-of-4-cotton-sarees-by-pavechas-/161,https://cdn.ezmall.com/0/images/product/109/1Pack_of_4_Cotton_sarees_by_Pavechas_001.jpg,Pavechas,no color,51.00 INR,no size,Women,Ethnic Wear,Sarees & Blouses,Apparel & Accessories
18,113,3 Pendant Sets and 1 Chain by Sheetal Jewellery,3 cubic zircon pendants with a chain is what you need for boardroom dressing and evening affairs. 6 months warranty on plating.,2000.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/necklace-sets/3-pendant-sets-and-1-chain-by-sheetal-jewellery/165,https://cdn.ezmall.com/0/images/product/113/001-a.jpg,Sheetal Jewellery,MULTI,51.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
19,115,Pick Any 1 - Anarkali with Bottom Fabric by Rhythm Rajasthan,"Online Shopping for Pick Any 1 - Anarkali with Bottom Fabric by Rhythm Rajasthan in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2499.00 ,https://www.ezmall.com/women/ethnic-wear/kurtas-suits/kurtas/pick-any-1-anarkali-with-bottom-fabric-by-rhythm-rajasthan/169,https://cdn.ezmall.com/0/images/product/115/Anarkali_With_Bottom_Fabric_By_Rhythm_Rajasthan_Color_Blue-Set-001.jpg,Rhythm Rajasthan,"BLUE,RED",101.00 INR,"S,M,L,XL,XXL",Women,Ethnic Wear,Kurtas & Suits,Apparel & Accessories
20,117,Pack of 2 Kurtas by Rhythm Rajasthan,"Online Shopping for Pack of 2 Kurtas by Rhythm Rajasthan in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2198.00 ,https://www.ezmall.com/women/ethnic-wear/kurtas-suits/kurtas/pack-of-2-kurtas-by-rhythm-rajasthan/171,https://cdn.ezmall.com/0/images/product/117/Pack_of_2_Kurtas_by_Rhythm_Rajasthan_001.jpg,Rhythm Rajasthan,no color,51.00 INR,"S,M,L,XL,XXL",Women,Ethnic Wear,Kurtas & Suits,Apparel & Accessories
21,121,Pack of 2 Kurtas with Crop Top by Rhythm Rajasthan,"Online Shopping for Pack of 2 Kurtas with Crop Top by Rhythm Rajasthan in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2499.00 ,https://www.ezmall.com/women/ethnic-wear/kurtas-suits/kurtas/pack-of-2-kurtas-with-crop-top-by-rhythm-rajasthan/203,https://cdn.ezmall.com/0/images/product/121/Pack-of-2-Kurtas-with-Crop-Top-by-Rhythm-Rajasthan-001-zoom-1.jpg,Rhythm Rajasthan,no color,101.00 INR,"S,M,L,XL,XXL",Women,Ethnic Wear,Kurtas & Suits,Apparel & Accessories
22,123,Indigo Saree + 2 Blouses by Pavechas,"Online Shopping for Indigo Saree + 2 Blouses by Pavechas in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",1999.00 ,https://www.ezmall.com/women/ethnic-wear/sarees-blouses/sarees/indigo-saree-2-blouses-by-pavechas/209,https://cdn.ezmall.com/0/images/product/123/1Indigo_Cotton_Saree_with_2_Blouse_Pieces_by_Pavechas_001.jpg,Pavechas,no color,51.00 INR,no size,Women,Ethnic Wear,Sarees & Blouses,Apparel & Accessories
23,131,Hawa Mahal Collection 3 Necklace Sets,"Online Shopping for Hawa Mahal Collection 3 Necklace Sets in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2000.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/necklace-sets/hawa-mahal-collection-3-necklace-sets/215,https://cdn.ezmall.com/0/images/product/131/001-a.jpg,Touchstone,no color,51.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
24,133,3 Pendant Sets + Matching Earrings & 1 common Chain by Sheetal,"Online Shopping for 3 Pendant Sets + Matching Earrings & 1 common Chain by Sheetal in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",2000.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/necklace-sets/3-pendant-sets-matching-earrings-1-common-chain-by-sheetal/217,https://cdn.ezmall.com/0/images/product/133/3-Pendant-Sets-001.jpg,Sheetal Jewellery,no color,101.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
25,137,Slazenger Lifestyle Shoes,"Designed with Flyknit upper material and Phylon sole, here's a pair of sports shoes by Slazenger in black for men. Find a perfect balance between comfort and style for the feet.",3499.00 ,https://www.ezmall.com/men/footwear/sports-shoes/slazenger-lifestyle-shoes/227,https://cdn.ezmall.com/0/images/product/137/Slazenger_Lifestyle_Shoes_001.jpg,Slazenger,BLACK,101.00 INR,"6,7,8,9,10",Men,Footwear,Sports Shoes,Apparel & Accessories
26,139,Touchstone Mix & Match 4 Necklace Sets,"Online Shopping for Touchstone Mix & Match 4 Necklace Sets in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",1800.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/necklace-sets/touchstone-mix-match-4-necklace-sets/233,https://cdn.ezmall.com/0/images/product/139/001-a.jpg,Touchstone,no color,51.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
27,141,Real Freshwater Pearl Jewellery by jpearls,"Real pearls can never go wrong. A collection of real freshwater pearls necklace, earrings and watch to suit every occasion, every moment.",2400.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/necklace-sets/real-freshwater-pearl-jewellery-by-jpearls/235,https://cdn.ezmall.com/0/images/product/141/001nav.jpg,jpearls,no color,101.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
28,167,Shahnaz Husain 5Pc. Facial Kit 215 Gm,"Online Shopping for Shahnaz Husain 5Pc. Facial Kit 215 Gm in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",1399.00 ,https://www.ezmall.com/women/beauty-personal-care/body-skin-care/facial-kits/shahnaz-husain-5pc.-facial-kit-215-gm/279,https://cdn.ezmall.com/0/images/product/167/Shahnaz_Husain_5Pc_Facial_Kit_002.jpg,Shahnaz Husain,no color,51.00 INR,no size,Women,Beauty & Personal Care,Body & Skin Care,Health & Beauty
29,169,Pack of 2 Bed Sheets with 4 Pillow Covers,Set of Two Floral & Geometric Bedsheets by Trident,2398.00 ,https://www.ezmall.com/home-kitchen/furnishings-furniture/bed-linen/bed-sheets/pack-of-2-bed-sheets-with-4-pillow-covers/281,https://cdn.ezmall.com/0/images/product/169/Pack_of_2_BedSheets_with_4_Pillow_Covers_001.jpg,Trident,MULTI,101.00 INR,no size,Home & Kitchen,Furnishings & Furniture,Bed Linen,Home & Garden
30,171,3 Pcs Die Cast Pan with Glass Lids,"Online Shopping for 3 Pcs Die Cast Pan with Glass Lids in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",6000.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/pots-pans/3-pcs-die-cast-pan-with-glass-lids/283,https://cdn.ezmall.com/0/images/product/171/3-Pcs-Die-Cast-Pan-with-Glass-Lids-001.jpg,Wonderchef,BLACK,201.00 INR,no size,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
31,173,Pick Any 1 - Designer Suede Shoes by Delhi Derby,Pick Any 1 - Designer Suede Shoes by Delhi Derby,2799.00 ,https://www.ezmall.com/men/footwear/casual-shoes/pick-any-1-designer-suede-shoes-by-delhi-derby/287,https://cdn.ezmall.com/0/images/product/173/Pick_Any1-Designer_Suede_Shoes_by_Delhi_Derby_001.jpg,Delhi Derby,"BLUE,RED,BROWN",101.00 INR,"6,7,8,9,10",Men,Footwear,Casual Shoes,Apparel & Accessories
32,175,Pick Any 1 - Jacquard Banarasi Sarees by Fashions World,Pick Any 1 - Jacquard Banarasi Sarees by Fashions World,2299.00 ,https://www.ezmall.com/women/ethnic-wear/sarees-blouses/sarees/pick-any-1-jacquard-banarasi-sarees-by-fashions-world/305,https://cdn.ezmall.com/0/images/product/175/Pick_Any_1-Jacquard_Banarasi_Sarees_by_Fashions_World_001.jpg,Fashions World,"Pink,YELLOW",101.00 INR,no size,Women,Ethnic Wear,Sarees & Blouses,Apparel & Accessories
33,177,Pick Any 1 - Chiffon Saree by Fashions World not use,Pick Any 1 - Chiffon Saree by Fashions World,1999.00 ,https://www.ezmall.com/women/ethnic-wear/sarees-blouses/sarees/pick-any-1-chiffon-saree-by-fashions-world-not-use/297,https://cdn.ezmall.com/0/images/product/177/Pick_Any1-Chiffon_Saree_by_Fashions_World_001.jpg,Fashions World,"RED,GREEN",101.00 INR,no size,Women,Ethnic Wear,Sarees & Blouses,Apparel & Accessories
